"Account ID","Account Name","Type","Industry","Billing Street","Billing City","Billing State/Province","Billing Zip/Postal Code","Billing Country","Phone","Website","Account Owner","Primary Contact","Contact Email","Customer Since","Created Date","Last Activity"
"0015g00000AbC1dEAF","Lone Star Dental Group","Customer - Direct","Healthcare","4400 N Lamar Blvd, Suite 210","Austin","TX","78756","United States","(512) 555-0147","www.lonestardental.example","Megan Ortiz","Dr. Priya Raman","p.raman@lonestardental.example","3/14/2023","2/27/2023","9/18/2026"
"0015g00000AbC2fEAF","Hill Country Realty LLC","Customer - Direct","Real Estate","1200 Barton Springs Rd","Austin","TX","78704","United States","(512) 555-0199","hillcountryrealty.example","Megan Ortiz","Tom Whitaker","tom@hillcountryrealty.example","6/1/2021","5/20/2021","8/30/2026"
"0015g00000AbC3hEAF","Bluebonnet Montessori School","Customer - Direct","Education","9801 Anderson Mill Rd","Austin","TX","78750","United States","512-555-0112","bluebonnetmontessori.example","Jake Sullivan","Angela Brooks","ABrooks@BluebonnetMontessori.example","8/15/2022","8/2/2022","9/2/2026"
"0015g00000AbC4jEAF","Riverside Auto Body","Customer - Channel","Automotive","2317 E Riverside Dr","Austin","TX","78741","United States","(512) 555-0163","","Jake Sullivan","Luis Hernandez","","11/3/2024","10/28/2024","7/11/2026"
"0015g00000AbC5lEAF","Pflugerville Family Medicine","Customer - Direct","Healthcare","15803 Windermere Dr, Bldg B","Pflugerville","TX","78660","United States","(512) 555-0178","pfamilymed.example","Megan Ortiz","Karen Liu","office@pfamilymed.example","1/9/2020","12/15/2019","9/21/2026"
"0015g00000AbC6nEAF","Round Rock Brewing Co.","Customer - Direct","Hospitality","301 E Main St","Round Rock","TX","78664","United States","(512) 555-0134","roundrockbrewing.example","Chris Dunn","Sam Patel","sam@roundrockbrewing.example","4/22/2025","4/10/2025","9/12/2026"
"0015g00000AbC7pEAF","Cedar Park Physical Therapy","Customer - Direct","Healthcare","1335 E Whitestone Blvd","Cedar Park","TX","78613","United States","(512) 555-0186","cedarparkpt.example","Chris Dunn","Rachel Kim","rkim@cedarparkpt.example","","7/7/2026","9/24/2026"
"0015g00000AbC8rEAF","Georgetown Title Company","Customer - Channel","Financial Services","106 W 8th St","Georgetown","TX","78626","USA","(512) 555-0155","gttitle.example","Megan Ortiz","Beverly Nguyen","bnguyen@gttitle.example","9/30/2019","9/12/2019","6/5/2026"
"0015g00000AbC9tEAF","Mueller Coworking","Customer - Direct","Business Services","1911 Aldrich St, Floor 2","Austin","TX","78723","United States","(512) 555-0121","muellercowork.example","Jake Sullivan","Olivia Grant","olivia@muellercowork.example","2/1/2024","1/15/2024","9/25/2026"
"0015g00000AbDAvEAN","San Marcos Animal Hospital","Customer - Direct","Healthcare","1520 Hunter Rd","San Marcos","TX","78666","United States","(512) 555-0140","smanimalhospital.example","Chris Dunn","Dr. Mark Ellison","front.desk@smanimalhospital.example","5/17/2023","5/2/2023","8/19/2026"
"0015g00000AbDBxEAN","Travis Heights Yoga","Customer - Direct","Fitness","1800 S Congress Ave","Austin","TX","78704","United States","(512) 555-0193","","Megan Ortiz","Jenna Moreau","jenna@travisheightsyoga.example","10/10/2025","10/1/2025","9/8/2026"
"0015g00000AbDCzEAN","Kyle Logistics Inc.","Customer - Channel","Transportation","22000 IH-35 Frontage Rd","Kyle","TX","78640","United States","(512) 555-0102","kylelogistics.example","Jake Sullivan","Derek Owens","dowens@kylelogistics.example","12/2/2021","11/18/2021","5/28/2026"
"0015g00000AbDD1EAN","Eastside Pediatric Dentistry","Customer - Direct","Healthcare","3706 Manor Rd","Austin","TX","78723","United States","(512) 555-0108","eastsidekidsdental.example","Chris Dunn","Maria Delgado","mdelgado@eastsidekidsdental.example","3/3/2026","2/20/2026","9/22/2026"
"0015g00000AbDE3EAN","Lakeway Country Club","Customer - Direct","Hospitality","510 Lakeway Dr","Lakeway","TX","78734","United States","(512) 555-0170","lakewaycc.example","Megan Ortiz","","","7/19/2018","7/1/2018","4/14/2026"
